week_date,unit,row,col,artist_type,local_pct
2026-04-16,25,3,5,Local,28
2026-04-16,26,3,6,Local,28
2026-04-16,27,3,7,Local,28
2026-04-16,28,3,8,Local,28
2026-04-16,29,3,9,International,28
2026-04-16,30,3,10,International,28
2026-04-16,31,4,1,International,28
2026-04-16,32,4,2,International,28
2026-04-16,33,4,3,International,28
2026-04-16,34,4,4,International,28
2026-04-16,35,4,5,International,28
2026-04-16,36,4,6,International,28
2026-04-16,37,4,7,International,28
2026-04-16,38,4,8,International,28
2026-04-16,39,4,9,International,28
2026-04-16,40,4,10,International,28
2026-04-16,41,5,1,International,28
2026-04-16,42,5,2,International,28
2026-04-16,43,5,3,International,28
2026-04-16,44,5,4,International,28
2026-04-16,45,5,5,International,28
2026-04-16,46,5,6,International,28
2026-04-16,47,5,7,International,28
2026-04-16,48,5,8,International,28
2026-04-16,49,5,9,International,28
2026-04-16,50,5,10,International,28
2026-04-16,51,6,1,International,28
2026-04-16,52,6,2,International,28
2026-04-16,53,6,3,International,28
2026-04-16,54,6,4,International,28
2026-04-16,55,6,5,International,28
2026-04-16,56,6,6,International,28
2026-04-16,57,6,7,International,28
2026-04-16,58,6,8,International,28
2026-04-16,59,6,9,International,28
2026-04-16,60,6,10,International,28
2026-04-16,61,7,1,International,28
2026-04-16,62,7,2,International,28
2026-04-16,63,7,3,International,28
2026-04-16,64,7,4,International,28
2026-04-16,65,7,5,International,28
2026-04-16,66,7,6,International,28
2026-04-16,67,7,7,International,28
2026-04-16,68,7,8,International,28
2026-04-16,69,7,9,International,28
2026-04-16,70,7,10,International,28
2026-04-16,71,8,1,International,28
2026-04-16,72,8,2,International,28
2026-04-16,73,8,3,International,28
2026-04-16,74,8,4,International,28
2026-04-16,75,8,5,International,28
2026-04-16,76,8,6,International,28
2026-04-16,77,8,7,International,28
2026-04-16,78,8,8,International,28
2026-04-16,79,8,9,International,28
2026-04-16,80,8,10,International,28
2026-04-16,81,9,1,International,28
2026-04-16,82,9,2,International,28
2026-04-16,83,9,3,International,28
2026-04-16,84,9,4,International,28
2026-04-16,85,9,5,International,28
2026-04-16,86,9,6,International,28
2026-04-16,87,9,7,International,28
2026-04-16,88,9,8,International,28
2026-04-16,89,9,9,International,28
2026-04-16,90,9,10,International,28
2026-04-16,91,10,1,International,28
2026-04-16,92,10,2,International,28
2026-04-16,93,10,3,International,28
2026-04-16,94,10,4,International,28
2026-04-16,95,10,5,International,28
2026-04-16,96,10,6,International,28
